"stock","timeStamp","month","open","high","low","close","change"
"NAVKARCORP","2019-01-10 00:00:00","January","51","51","50","50.2","-0.01569"
"NAVNETEDUL","2019-01-10 00:00:00","January","109.65","109.75","108","109.25","-0.00365"
"NBCC","2019-01-10 00:00:00","January","61.45","62.15","60.9","61.25","-0.00325"
"NBIFIN","2019-01-10 00:00:00","January","1220","1247.25","1192.15","1240","0.01639"
"NBVENTURES","2019-01-10 00:00:00","January","116.35","116.75","114.5","114.9","-0.01246"
"NCC","2019-01-10 00:00:00","January","90.8","93.25","90","92.7","0.02093"
"NCLIND","2019-01-10 00:00:00","January","137.9","137.9","131","132.65","-0.03807"
"NDGL","2019-01-10 00:00:00","January","825","837","808","813","-0.01455"
"NDL","2019-01-10 00:00:00","January","60.5","62","59","59.95","-0.00909"
"NDTV","2019-01-10 00:00:00","January","39.35","39.75","37.9","37.9","-0.03685"
"NECCLTD","2019-01-10 00:00:00","January","9.4","9.6","9.4","9.45","0.00532"
"NECLIFE","2019-01-10 00:00:00","January","20.45","20.55","20.2","20.25","-0.00978"
"NELCAST","2019-01-10 00:00:00","January","81.5","81.85","80.35","80.6","-0.01104"
"NELCO","2019-01-10 00:00:00","January","275.4","286.55","272.55","283.95","0.03105"
"NESCO","2019-01-10 00:00:00","January","479.6","484.5","473","477.05","-0.00532"
"NESTLEIND","2019-01-10 00:00:00","January","11320","11447.8","11139.6","11416.6","0.00853"
"NETWORK18","2019-01-10 00:00:00","January","39.8","40.15","39.6","39.9","0.00251"
"NEULANDLAB","2019-01-10 00:00:00","January","505.05","513.75","502.4","509.2","0.00822"
"NEWGEN","2019-01-10 00:00:00","January","295","308.7","295","305.9","0.03695"
"NFL","2019-01-10 00:00:00","January","35.35","38.7","35.3","36.8","0.04102"
"NH","2019-01-10 00:00:00","January","25.95","26","25.35","25.55","-0.01541"
"NHPC","2019-01-10 00:00:00","January","25.95","26","25.35","25.55","-0.01541"
"NIACL","2019-01-10 00:00:00","January","178.25","180.05","178.15","179.05","0.00449"
"NIBL","2019-01-10 00:00:00","January","24.25","24.25","23","23","-0.05155"
"NIITLTD","2019-01-10 00:00:00","January","85.05","86.2","82.65","83.1","-0.02293"
"NILAINFRA","2019-01-10 00:00:00","January","7.7","7.7","7.55","7.6","-0.01299"
"NILKAMAL","2019-01-10 00:00:00","January","1446.1","1458.8","1441.05","1446","-0.00007"
"NIPPOBATRY","2019-01-10 00:00:00","January","352.7","359.62","352.7","357.62","0.01395"
"NIRAJ","2019-01-10 00:00:00","January","112","112","112","112","0"
"NIRAJISPAT","2019-01-10 00:00:00","January","112","112","112","112","0"
"NITCO","2019-01-10 00:00:00","January","41.95","42.8","41.55","42.15","0.00477"
"NITINFIRE","2019-01-10 00:00:00","January","1.8","1.8","1.7","1.75","-0.02778"
"NITINSPIN","2019-01-10 00:00:00","January","90.65","91.7","88","88.25","-0.02648"
"NKIND","2019-01-10 00:00:00","January","47","47","46.75","46.75","-0.00532"
"NLCINDIA","2019-01-10 00:00:00","January","68.1","68.5","66.4","67.35","-0.01101"
"NMDC","2019-01-10 00:00:00","January","91.1","91.8","90.8","91.1","0"
"NOCIL","2019-01-10 00:00:00","January","171","171","165.15","166.1","-0.02865"
"NOIDATOLL","2019-01-10 00:00:00","January","7.1","7.5","7.1","7.25","0.02113"
"NORBTEAEXP","2019-01-10 00:00:00","January","5.1","5.25","5.1","5.2","0.01961"
"NOVARTIND","2019-01-10 00:00:00","January","718","735.15","718","726","0.01114"
"NRAIL","2019-01-10 00:00:00","January","409.2","409.9","398.05","399.8","-0.02297"
"NRBBEARING","2019-01-10 00:00:00","January","201.35","204.4","200.35","203.05","0.00844"
"NSIL","2019-01-10 00:00:00","January","1026","1074","1018.35","1044.95","0.01847"
"NTPC","2019-01-10 00:00:00","January","122.46","124.62","122.29","123.42","0.00784"
"NUCLEUS","2019-01-10 00:00:00","January","379.45","379.95","372","374.75","-0.01239"
"NXTDIGITAL","2019-01-10 00:00:00","January","401.35","401.35","390.05","395.55","-0.01445"
"OAL","2019-01-10 00:00:00","January","250.1","272","250","267.15","0.06817"
"OBEROIRLTY","2019-01-10 00:00:00","January","459.4","467.85","453.2","460.05","0.00141"
"OCCL","2019-01-10 00:00:00","January","1139","1170.85","1138.95","1149.1","0.00887"
"OFSS","2019-01-10 00:00:00","January","3619","3647","3570.75","3635.6","0.00459"
"OIL","2019-01-10 00:00:00","January","145.9","147","143","143.25","-0.01816"
"OILCOUNTUB","2019-01-10 00:00:00","January","16.5","16.5","15.5","15.7","-0.04848"
"OLECTRA","2019-01-10 00:00:00","January","232","232","224.5","226","-0.02586"
"OMAXAUTO","2019-01-10 00:00:00","January","93","93","88","90.25","-0.02957"
"OMAXE","2019-01-10 00:00:00","January","212.8","213.9","212.55","212.9","0.00047"
"OMINFRAL","2019-01-10 00:00:00","January","37","40","36.25","39.3","0.06216"
"OMKARCHEM","2019-01-10 00:00:00","January","25.25","25.25","24.25","25","-0.0099"
"ONELIFECAP","2019-01-10 00:00:00","January","16.05","17.6","16.05","17.4","0.08411"
"ONGC","2019-01-10 00:00:00","January","145.9","147","143","143.25","-0.01816"
